ruta;bloque;extension;bytes;lineas;sintaxis_ok;imports_relativos_no_resueltos;marcador_temporal_todo;usa_any
src/domain/expediente/ValorEstimado.ts;Dominio y expediente;.ts;523;24;SI;0;NO;NO
src/domain/generadores/GeneradorInformeInsuficiencia.ts;Otros;.ts;483;18;SI;0;NO;NO
src/domain/generadores/GeneradorMemoria.ts;Otros;.ts;589;22;SI;0;NO;NO
src/domain/hechos/HechoAdministrativo.ts;Dominio y expediente;.ts;1016;49;SI;0;NO;NO
src/domain/hechos/TipoHecho.ts;Dominio y expediente;.ts;1225;61;SI;0;NO;NO
src/domain/interview/ContractInterviewEngine.ts;Otros;.ts;20714;1185;SI;0;SI;NO
src/domain/interview/InterviewSession.ts;Otros;.ts;15208;959;SI;0;SI;NO
src/domain/knowledge/ContractDecisionEngine.ts;Motores jurídicos, reglas y CPV;.ts;2669;110;SI;0;SI;NO
src/domain/knowledge/ContractKnowledgeEngine.ts;Motores jurídicos, reglas y CPV;.ts;3481;205;SI;0;SI;NO
src/domain/knowledge/DecisionContext.ts;Motores jurídicos, reglas y CPV;.ts;1934;98;SI;1;SI;NO
src/domain/knowledge/DecisionEngine.ts;Motores jurídicos, reglas y CPV;.ts;2571;141;SI;0;SI;NO
src/domain/knowledge/DecisionTrace.ts;Motores jurídicos, reglas y CPV;.ts;2652;179;SI;0;NO;NO
src/domain/knowledge/ExpedienteAnalyzer.ts;Motores jurídicos, reglas y CPV;.ts;2726;170;SI;0;SI;SI
src/domain/knowledge/ExpedienteFacts.ts;Motores jurídicos, reglas y CPV;.ts;1761;102;SI;0;SI;NO
src/domain/knowledge/KnowledgeGraph.ts;Motores jurídicos, reglas y CPV;.ts;3389;233;SI;0;NO;NO
src/domain/knowledge/KnowledgeModuleRegistry.ts;Motores jurídicos, reglas y CPV;.ts;1520;103;SI;0;NO;NO
src/domain/knowledge/KnowledgePackLoader.ts;Motores jurídicos, reglas y CPV;.ts;11295;703;SI;0;SI;NO
src/domain/knowledge/KnowledgeQueryEngine.ts;Motores jurídicos, reglas y CPV;.ts;20645;1344;SI;0;SI;NO
src/domain/knowledge/KnowledgeRepository.ts;Motores jurídicos, reglas y CPV;.ts;2009;122;SI;0;NO;NO
